codigo;sum_trx;mean_trx;sum_monto;mean_monto;clientes_unicos;trx_percapita;monto_percapita
737995769;3518;4;44913100595;48502268;357;9,854;125807004
737995777;5;1;33030092;6606018;5;1,000;6606018
737996696;20;4;20470268380;4094053676;5;4,000;4094053676
737996724;3;3;3046239872;3046239872;1;3,000;3046239872
737996726;2;2;1823322965;1823322965;1;2,000;1823322965
737996728;2645;5;3212490085;5809204;357;7,409;8998572
737996729;94;3;575480669;16442305;30;3,133;19182689
737996731;90;4;41096349829;1956969039;21;4,286;1956969039
737996733;1424;4;417492999;1048977;330;4,315;1265130
737996734;40;3;24850451327;1911573179;11;3,636;2259131939
737996735;41;2;13223403323;695968596;18;2,278;734633518
737996739;34;4;219601354;27450169;7;4,857;31371622
737996745;6;1;40234139;8046828;5;1,200;8046828
737996752;7;1;4875595522;812599254;6;1,167;812599254
737996759;50;2;308614992;10287166;30;1,667;10287166
737996760;61;3;8492464107;471803561;14;4,357;606604579
737996787;186;4;98040922697;2085977079;42;4,429;2334307683
737996788;4;1;22427466;7475822;3;1,333;7475822
737996798;2;1;12066817;6033409;2;1,000;6033409
737996810;6153;4;58309041994;33568821;732;8,406;79657161
737996814;4;1;27232407;6808102;4;1,000;6808102
737996824;480;5;908101044;9558958;83;5,783;10940976
737996827;22;4;16885193919;2814198987;6;3,667;2814198987
737996828;10;3;62441370;15610343;4;2,500;15610343
737996829;1255;5;2326986535;8915657;179;7,011;12999925
737996833;2;1;14132641;7066321;2;1,000;7066321
737996834;950;6;15496578535;95071034;118;8,051;131326937
737996836;82;3;507647811;20305912;24;3,417;21151992
737996837;7;7;50174656;50174656;1;7,000;50174656
737996845;1216;5;59936747583;239746990;214;5,682;280078260
737996847;84;3;540843455;16389196;33;2,545;16389196
737996870;1;1;7019287;7019287;1;1,000;7019287
737996909;90;3;5151184684;171706156;27;3,333;190784618
737996910;2836;7;162978237782;382578023;232;12,224;702492404
737996913;168;3;969921087;17320019;50;3,360;19398422
737996914;74;2;4786270377;140772658;29;2,552;165043806
737996915;2;2;14874200;14874200;1;2,000;14874200
737996970;1;1;7608457;7608457;1;1,000;7608457
737996971;54;3;43547928680;2177396434;15;3,600;2903195245
737996973;31;6;20295925386;4059185077;5;6,200;4059185077
737996983;313;3;83439444452;897198327;67;4,672;1245364843
737996984;4;1;28634676;7158669;4;1,000;7158669
737996993;130;2;14103183251;198636384;64;2,031;220362238
737997003;13;1;85285250;8528525;10;1,300;8528525
737997005;1765;4;99373412332;222311884;302;5,844;329051034
737997006;182;3;50820319523;819682573;52;3,500;977313837
737997007;64;3;427955698;22523984;18;3,556;23775317
737997009;36;2;6604553556;275189731;22;1,636;300206980
737997013;2;1;11504537;5752269;2;1,000;5752269
737997029;81;2;568944073;11853002;45;1,800;12643202
737997030;579;5;65482170800;600753861;87;6,655;752668630
737997031;4;1;29227792;9742597;2;2,000;14613896
737997033;41;14;24704996408;8234998803;3;13,667;8234998803
737997038;31;2;189091625;9454581;19;1,632;9952191
